date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:16	303/303	---MCZ	200	added ('OK')	text/plain	etag:W/%221f5-pBSD4qFzAMEBpGlayLdMUBO9rKE%22	https://www.lgbtcenterofreading.com/robots.txt		(from )
16:47:17	1809196/1809196	---MCZ	200	added ('OK')	text/html	etag:W/%221e4138dbe081d4d9989ce61e52c3e8bf%22	https://www.lgbtcenterofreading.com/	C:/Users/logan/Nextcloud/Documents/PSU/Spring%202026/IST413/LGBT%20Center%20Of%20Reading/LCGR%20Original%20Site/www.lgbtcenterofreading.com/index.html	(from )
16:47:17	35540/35540	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202026%2019:20:53%20GMT	https://static.wixstatic.com/media/8659e2_750ed3b7566848afa53ca40b98ae2755~mv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/8659e2_750ed3b7566848afa53ca40b98ae2755~mv2.png	C:/Users/logan/Nextcloud/Documents/PSU/Spring%202026/IST413/LGBT%20Center%20Of%20Reading/LCGR%20Original%20Site/static.wixstatic.com/media/8659e2_750ed3b7566848afa53ca40b98ae2755_mv2.png/v1/fill/w_192,h_192,lg_1,usm_0.66_1.0/8659e2_750ed3b7566848af	(from https://www.lgbtcenterofreading.com/)
16:47:18	32822/32822	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Mar%202026%2021:47:17%20GMT	https://static.wixstatic.com/media/8659e2_750ed3b7566848afa53ca40b98ae2755~mv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/8659e2_750ed3b7566848afa53ca40b98ae2755~mv2.png	C:/Users/logan/Nextcloud/Documents/PSU/Spring%202026/IST413/LGBT%20Center%20Of%20Reading/LCGR%20Original%20Site/static.wixstatic.com/media/8659e2_750ed3b7566848afa53ca40b98ae2755_mv2.png/v1/fill/w_180,h_180,lg_1,usm_0.66_1.0/8659e2_750ed3b7566848af	(from https://www.lgbtcenterofreading.com/)
16:47:18	3030/3030	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202026%2019:34:37%20GMT	https://static.wixstatic.com/media/8659e2_750ed3b7566848afa53ca40b98ae2755~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/8659e2_750ed3b7566848afa53ca40b98ae2755~mv2.png	C:/Users/logan/Nextcloud/Documents/PSU/Spring%202026/IST413/LGBT%20Center%20Of%20Reading/LCGR%20Original%20Site/static.wixstatic.com/media/8659e2_750ed3b7566848afa53ca40b98ae2755_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_/8659e2_750ed3b7566848af	(from https://www.lgbtcenterofreading.com/)
16:47:18	432253/432253	---M--	200	added ('OK')	application/javascript	etag:%22ad8d4abe1af9f974a1468f1782295b0c%22	https://static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	C:/Users/logan/Nextcloud/Documents/PSU/Spring%202026/IST413/LGBT%20Center%20Of%20Reading/LCGR%20Original%20Site/static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	(from https://www.lgbtcenterofreading.com/)
16:47:18	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/logan/Nextcloud/Documents/PSU/Spring%202026/IST413/LGBT%20Center%20Of%20Reading/LCGR%20Original%20Site/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.lgbtcenterofreading.com/)
16:47:18	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/logan/Nextcloud/Documents/PSU/Spring%202026/IST413/LGBT%20Center%20Of%20Reading/LCGR%20Original%20Site/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.lgbtcenterofreading.com/)
16:47:18	2207/2207	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Mar%202026%2021:47:18%20GMT	https://www.lgbtcenterofreading.com/t	C:/Users/logan/Nextcloud/Documents/PSU/Spring%202026/IST413/LGBT%20Center%20Of%20Reading/LCGR%20Original%20Site/www.lgbtcenterofreading.com/t.6.delayed	(from https://www.lgbtcenterofreading.com/)
16:47:19	2206/2206	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Mar%202026%2021:47:19%20GMT	https://www.lgbtcenterofreading.com/o	C:/Users/logan/Nextcloud/Documents/PSU/Spring%202026/IST413/LGBT%20Center%20Of%20Reading/LCGR%20Original%20Site/www.lgbtcenterofreading.com/o.7.delayed	(from https://www.lgbtcenterofreading.com/)
16:47:40	887914/887914	---MCZ	200	added ('OK')	text/html	etag:W/%222298b1e455b427e7136c843872b83248%22	https://www.lgbtcenterofreading.com/who-we-are	C:/Users/logan/Nextcloud/Documents/PSU/Spring%202026/IST413/LGBT%20Center%20Of%20Reading/LCGR%20Original%20Site/www.lgbtcenterofreading.com/who-we-are.html	(from https://www.lgbtcenterofreading.com/)
16:47:41	117778/117778	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Feb%202026%2023:19:34%20GMT	http://static.wixstatic.com/media/8659e2_25a4e8474ee841a080e32bf7675da6e9~mv2.jpg/v1/fill/w_889,h_889,al_c,q_85/8659e2_25a4e8474ee841a080e32bf7675da6e9~mv2.jpg?formatterValues=8659e2_25a4e8474ee841a080e32bf7675da6e9~mv2.jpg,889,889	C:/Users/logan/Nextcloud/Documents/PSU/Spring%202026/IST413/LGBT%20Center%20Of%20Reading/LCGR%20Original%20Site/static.wixstatic.com/media/8659e2_25a4e8474ee841a080e32bf7675da6e9_mv2.jpg/v1/fill/w_889,h_889,al_c,q_85/8659e2_25a4e8474ee841a080e32bf7	(from https://www.lgbtcenterofreading.com/)
16:47:56	190078/190078	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Feb%202026%2023:19:34%20GMT	http://static.wixstatic.com/media/8659e2_521f1ac5aa4d4a20ac065725f5295b87~mv2.jpg/v1/fill/w_1013,h_1013,al_c,q_85/8659e2_521f1ac5aa4d4a20ac065725f5295b87~mv2.jpg?formatterValues=8659e2_521f1ac5aa4d4a20ac065725f5295b87~mv2.jpg,1013,1013	C:/Users/logan/Nextcloud/Documents/PSU/Spring%202026/IST413/LGBT%20Center%20Of%20Reading/LCGR%20Original%20Site/static.wixstatic.com/media/8659e2_521f1ac5aa4d4a20ac065725f5295b87_mv2.jpg/v1/fill/w_1013,h_1013,al_c,q_85/8659e2_521f1ac5aa4d4a20ac0657	(from https://www.lgbtcenterofreading.com/)
16:48:01	118660/118660	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Feb%202026%2023:19:34%20GMT	http://static.wixstatic.com/media/8659e2_45dcf692e9ba4dc58042d32d55a7be5f~mv2.jpg/v1/fill/w_860,h_860,al_c,q_85/8659e2_45dcf692e9ba4dc58042d32d55a7be5f~mv2.jpg?formatterValues=8659e2_45dcf692e9ba4dc58042d32d55a7be5f~mv2.jpg,860,860	C:/Users/logan/Nextcloud/Documents/PSU/Spring%202026/IST413/LGBT%20Center%20Of%20Reading/LCGR%20Original%20Site/static.wixstatic.com/media/8659e2_45dcf692e9ba4dc58042d32d55a7be5f_mv2.jpg/v1/fill/w_860,h_860,al_c,q_85/8659e2_45dcf692e9ba4dc58042d32d	(from https://www.lgbtcenterofreading.com/)
